Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,6,0,20.0,3.2,7.3,.432,0.3,1.7,.200,2.8,5.7,.500,.455,0.8,0.8,1.000,2.0,4.2,6.2,1.7,0.2,0.5,1.5,2.2,7.5
Bam Adebayo,C,26,MIA,10,10,34.7,8.4,16.0,.525,0.1,0.2,.500,8.3,15.8,.525,.528,6.1,7.6,.803,2.3,8.2,10.5,3.8,1.4,1.4,2.9,2.3,23.0
Ochai Agbaji,SG,23,UTA,11,3,17.2,1.7,4.4,.396,0.9,2.6,.345,0.8,1.7,.474,.500,0.2,0.4,.500,0.8,1.9,2.7,1.0,0.4,0.6,0.6,1.3,4.5
Santi Aldama,PF,23,MEM,5,0,21.0,4.6,9.6,.479,1.6,4.0,.400,3.0,5.6,.536,.563,0.8,1.8,.444,0.6,4.0,4.6,1.8,0.4,0.8,1.6,1.2,11.6
Nickeil Alexander-Walker,SG,25,MIN,11,2,19.9,1.9,4.8,.396,1.0,3.0,.333,0.9,1.8,.500,.500,0.2,0.5,.333,0.1,1.7,1.8,2.4,0.8,0.8,0.9,1.5,5.0
Grayson Allen,SG,28,PHO,11,11,31.1,4.4,9.2,.475,2.7,5.5,.492,1.6,3.6,.450,.624,0.9,0.9,1.000,1.1,4.0,5.1,2.8,0.5,0.5,1.8,2.4,12.4
Jarrett Allen,C,25,CLE,6,6,25.7,3.8,5.7,.676,0.0,0.0,,3.8,5.7,.676,.676,4.2,5.3,.781,3.2,4.3,7.5,1.7,0.5,1.0,1.7,2.3,11.8
Kyle Anderson,PF,30,MIN,11,0,24.8,3.0,5.5,.541,0.2,0.9,.200,2.8,4.6,.608,.557,1.2,1.8,.650,0.7,3.0,3.7,4.0,1.1,0.7,1.9,1.5,7.4
Giannis Antetokounmpo,PF,29,MIL,10,10,32.5,11.0,18.9,.582,0.6,2.4,.250,10.4,16.5,.630,.598,6.9,10.8,.639,2.3,7.3,9.6,3.6,0.9,1.3,4.3,2.9,29.5
Thanasis Antetokounmpo,PF,31,MIL,4,0,9.0,0.5,1.8,.286,0.0,0.0,,0.5,1.8,.286,.286,0.0,0.0,,0.5,0.0,0.5,1.0,0.3,0.3,1.0,1.8,1.0
Cole Anthony,PG,23,ORL,11,0,23.7,4.2,9.8,.426,1.5,4.0,.364,2.7,5.8,.469,.500,3.6,4.5,.816,0.9,3.3,4.2,2.7,0.7,0.3,2.3,2.5,13.5
OG Anunoby,SF,26,TOR,8,8,31.4,6.3,12.3,.510,2.8,7.0,.393,3.5,5.3,.667,.622,1.1,1.9,.600,0.6,3.4,4.0,1.8,1.3,0.6,1.6,2.3,16.4
Ryan Arcidiacono,PG,29,NYK,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Deni Avdija,SF,23,WAS,11,11,26.8,5.1,9.8,.519,1.3,3.1,.412,3.8,6.7,.568,.583,1.3,1.6,.778,1.5,4.3,5.7,3.9,1.3,0.3,1.5,2.5,12.7
Deandre Ayton,C,25,POR,11,11,31.5,5.7,10.3,.558,0.0,0.0,,5.7,10.3,.558,.558,0.5,0.5,1.000,2.8,8.6,11.5,1.3,1.5,0.8,1.8,2.9,11.9
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
Marvin Bagley III,C,24,DET,12,4,19.8,4.3,7.3,.591,0.1,0.4,.200,4.3,6.9,.614,.597,2.7,2.9,.914,1.8,3.5,5.3,1.3,0.0,0.6,1.5,1.8,11.4
Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
LaMelo Ball,PG,22,CHO,10,10,33.5,7.7,18.4,.418,3.0,8.2,.366,4.7,10.2,.461,.500,3.8,4.5,.844,1.9,3.5,5.4,8.6,1.6,0.3,4.0,4.0,22.2
